chateau,year,score,price_usd,source
Lynch-Bages,2020,95,165.0,WineSearcher
Lynch-Bages,2021,93,134.0,WineSearcher
Lynch-Bages,2022,95,166.0,WineSearcher
Lynch-Bages,2023,95,125.0,WineSearcher
Lynch-Bages,2024,93,78.0,WineSearcher
Margaux,2017,96,,WineSearcher
Margaux,2018,97,,WineSearcher
Margaux,2019,97,,WineSearcher
Margaux,2020,97,,WineSearcher
Margaux,2021,95,,WineSearcher
Margaux,2022,98,,WineSearcher
Margaux,2023,97,,WineSearcher
Margaux,2024,95,,WineSearcher
Montrose,2017,94,185.0,WineSearcher
Montrose,2018,96,237.0,WineSearcher
Montrose,2019,97,209.0,WineSearcher
Montrose,2020,97,230.0,WineSearcher
Montrose,2021,94,170.0,WineSearcher
Montrose,2022,98,233.0,WineSearcher
Montrose,2023,97,189.0,WineSearcher
Montrose,2024,95,108.0,WineSearcher
Mouton Rothschild,2017,95,,WineSearcher
Mouton Rothschild,2018,98,,WineSearcher
Mouton Rothschild,2019,98,,WineSearcher
Mouton Rothschild,2020,97,,WineSearcher
Mouton Rothschild,2021,95,,WineSearcher
Mouton Rothschild,2022,98,,WineSearcher
Mouton Rothschild,2023,97,,WineSearcher
Mouton Rothschild,2024,95,,WineSearcher
Palmer,2017,95,339.0,WineSearcher
Palmer,2018,97,469.0,WineSearcher
Palmer,2019,97,335.0,WineSearcher
Palmer,2020,96,391.0,WineSearcher
Palmer,2021,94,328.0,WineSearcher
Palmer,2022,97,435.0,WineSearcher
Palmer,2023,96,362.0,WineSearcher
Palmer,2024,95,202.0,WineSearcher
Pichon Baron,2017,94,,WineSearcher
Pichon Baron,2018,96,,WineSearcher
Pichon Baron,2019,97,,WineSearcher
Pichon Baron,2020,96,,WineSearcher
Pichon Baron,2021,94,,WineSearcher
Pichon Baron,2022,97,,WineSearcher
Pichon Baron,2023,96,,WineSearcher
Pichon Baron,2024,93,,WineSearcher
Pichon Lalande,2017,95,200.0,WineSearcher
Pichon Lalande,2018,96,291.0,WineSearcher
Pichon Lalande,2019,96,335.0,WineSearcher
Pichon Lalande,2020,96,242.0,WineSearcher
Pichon Lalande,2021,94,193.0,WineSearcher
Pichon Lalande,2022,97,250.0,WineSearcher
Pichon Lalande,2023,97,181.0,WineSearcher
Pichon Lalande,2024,94,127.0,WineSearcher
Pontet-Canet,2017,94,143.0,WineSearcher
Pontet-Canet,2018,97,169.0,WineSearcher
Pontet-Canet,2019,96,153.0,WineSearcher
Pontet-Canet,2020,95,150.0,WineSearcher
Pontet-Canet,2021,93,103.0,WineSearcher
Pontet-Canet,2022,96,141.0,WineSearcher
Pontet-Canet,2023,96,121.0,WineSearcher
Pontet-Canet,2024,94,82.0,WineSearcher
Prieure-Lichine,2017,90,62.0,WineSearcher
Prieure-Lichine,2018,92,59.0,WineSearcher
Prieure-Lichine,2019,92,52.0,WineSearcher
Prieure-Lichine,2020,92,55.0,WineSearcher
Prieure-Lichine,2021,90,44.0,WineSearcher
Prieure-Lichine,2022,93,55.0,WineSearcher
Prieure-Lichine,2023,92,51.0,WineSearcher
Prieure-Lichine,2024,91,36.0,WineSearcher
Talbot,2017,91,80.0,WineSearcher
Talbot,2018,93,107.0,WineSearcher
Talbot,2019,93,102.0,WineSearcher
Talbot,2020,92,83.0,WineSearcher
Talbot,2021,91,64.0,WineSearcher
Talbot,2022,93,90.0,WineSearcher
Talbot,2023,93,72.0,WineSearcher
Talbot,2024,91,56.0,WineSearcher
d'Armailhac,2017,91,78.0,WineSearcher
d'Armailhac,2018,92,87.0,WineSearcher
d'Armailhac,2019,93,75.0,WineSearcher
d'Armailhac,2020,92,80.0,WineSearcher
d'Armailhac,2021,91,55.0,WineSearcher
d'Armailhac,2022,93,75.0,WineSearcher
d'Armailhac,2023,92,60.0,WineSearcher
d'Armailhac,2024,91,37.0,WineSearcher
