chateau,region_x,classification,year,score,price_usd,vintage_score,biodynamic,source,appellation,region_y,regional_vintage_score
Clerc-Milon,Pauillac,5,2007,88.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Clerc-Milon,Pauillac,5,2008,90.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Clerc-Milon,Pauillac,5,2009,93.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Clerc-Milon,Pauillac,5,2010,94.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Clerc-Milon,Pauillac,5,2011,91.0,,92,0,IEEE,Pauillac,Pauillac,91.0
Clerc-Milon,Pauillac,5,2012,90.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Clerc-Milon,Pauillac,5,2013,89.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Clerc-Milon,Pauillac,5,2014,92.0,,94,0,IEEE,Pauillac,Pauillac,93.0
Clerc-Milon,Pauillac,5,2015,91.0,,94,0,IEEE,Pauillac,Pauillac,95.0
Clerc-Milon,Pauillac,5,2016,94.0,,96,0,IEEE,Pauillac,Pauillac,96.0
Clerc-Milon,Pauillac,5,2017,92.0,108.0,94,0,WineSearcher,Pauillac,Pauillac,93.0
Clerc-Milon,Pauillac,5,2018,94.0,142.0,96,0,WineSearcher,Pauillac,Pauillac,96.0
Clerc-Milon,Pauillac,5,2019,93.0,135.0,96,0,WineSearcher,Pauillac,Pauillac,95.0
Clerc-Milon,Pauillac,5,2020,94.0,115.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
Clerc-Milon,Pauillac,5,2021,92.0,79.0,94,0,WineSearcher,Pauillac,Pauillac,93.0
Clerc-Milon,Pauillac,5,2022,94.0,95.0,96,0,WineSearcher,Pauillac,Pauillac,96.0
Clerc-Milon,Pauillac,5,2023,93.0,99.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
Clerc-Milon,Pauillac,5,2024,92.0,60.0,93,0,WineSearcher,Pauillac,Pauillac,92.0
Cos d'Estournel,St-Estephe,2,2017,95.0,201.0,94,0,WineSearcher,Saint-Estephe,Saint-Estephe,95.0
Cos d'Estournel,St-Estephe,2,2018,96.0,246.0,96,0,WineSearcher,Saint-Estephe,Saint-Estephe,97.0
Cos d'Estournel,St-Estephe,2,2019,97.0,236.0,96,0,WineSearcher,Saint-Estephe,Saint-Estephe,96.0
Cos d'Estournel,St-Estephe,2,2020,96.0,241.0,95,0,WineSearcher,Saint-Estephe,Saint-Estephe,96.0
Cos d'Estournel,St-Estephe,2,2021,94.0,217.0,94,0,WineSearcher,Saint-Estephe,Saint-Estephe,95.0
Cos d'Estournel,St-Estephe,2,2022,96.0,275.0,96,0,WineSearcher,Saint-Estephe,Saint-Estephe,97.0
Cos d'Estournel,St-Estephe,2,2023,96.0,182.0,95,0,WineSearcher,Saint-Estephe,Saint-Estephe,97.0
